,file_id,let_id,recipient,place,word_count,avg_sent_length,year,to_theo,avg_sentiment,num_sent,perc_neg,perc_pos,cluster,pca1,pca2
522,776_07,776,Theo van Gogh,Saint-Rémy-de-Provence,2130,22.747474747474747,1889,1,0.07507246376811597,99,0.3333333333333333,0.36363636363636365,0,-16.849524,22.694904
523,650_06,650,Theo van Gogh,Arles,1730,21.5,1888,1,0.09924999999999998,84,0.2619047619047619,0.42857142857142855,1,6.5710487,-9.837838
524,606_01,606,Theo van Gogh,Arles,430,18.64,1888,1,0.1256,25,0.2,0.4,0,-16.464272,-1.1549181
525,345_04,345,Anthon van Rappard,The Hague,962,22.782608695652176,1883,0,0.3331906250000001,46,0.1956521739130435,0.5,1,-4.910199,-6.426435
526,700_01,700,Theo van Gogh,Arles,761,18.113636363636363,1888,1,0.278175,44,0.1590909090909091,0.4772727272727273,1,3.2557402,-14.21944
527,577_01,577,Theo van Gogh,Arles,264,18.666666666666668,1888,1,0.355,15,0.13333333333333333,0.5333333333333333,0,-17.75064,-3.2927012
528,407_02,407,Theo van Gogh,Nieuw-Amsterdam,2289,31.175,1883,1,0.0620590909090909,80,0.3625,0.4625,2,4.516629,4.6537786
529,480_03,480,Theo van Gogh,Nuenen,825,27.303030303030305,1885,1,0.32182692307692307,33,0.15151515151515152,0.6363636363636364,1,-11.218788,-8.3455515
530,655_06,655,Emile Bernard,Arles,1505,21.904109589041095,1888,0,0.18647931034482762,73,0.2602739726027397,0.5342465753424658,1,4.9267735,-3.2069023
531,607_02,607,Theo van Gogh,Arles,523,19.821428571428573,1888,1,0.24841052631578944,28,0.17857142857142858,0.5,1,1.3606745,1.2624314
532,221_04,221,Theo van Gogh,The Hague,1131,25.270833333333332,1882,1,0.05156285714285715,48,0.3333333333333333,0.3958333333333333,2,11.086597,-4.019982
533,096_06,096,Theo van Gogh,Isleworth,3857,24.925925925925927,1876,1,0.3846031746031746,162,0.14814814814814814,0.6296296296296297,2,15.760706,9.485301
534,304_03,304,Anthon van Rappard,The Hague,1570,18.483516483516482,1883,0,0.15816935483870967,91,0.26373626373626374,0.4175824175824176,1,-0.02894634,7.4538302
535,247_010,247,Theo van Gogh,The Hague,2650,19.315068493150687,1882,1,0.10702272727272728,146,0.3013698630136986,0.4520547945205479,2,17.870802,3.0777092
536,571_01,571,Theo van Gogh,Paris,549,19.7,1887,1,0.14331428571428573,30,0.3,0.4,1,-16.094614,-5.3425655
537,629_01,629,Theo van Gogh,Arles,889,18.18867924528302,1888,1,0.22537575757575756,53,0.16981132075471697,0.4528301886792453,2,7.945455,0.26907128
538,160_04,160,Theo van Gogh,Brussels,1226,22.084745762711865,1880,1,0.3155400000000001,59,0.13559322033898305,0.4576271186440678,2,20.354351,1.7284045
539,655_01,655,Emile Bernard,Arles,1505,21.904109589041095,1888,0,0.18647931034482762,73,0.2602739726027397,0.5342465753424658,2,10.217757,0.3877217
540,707_02,707,Theo van Gogh,Arles,1264,24.24074074074074,1888,1,0.30510000000000004,54,0.2037037037037037,0.5555555555555556,1,-9.948953,-6.2476635
541,242_04,242,Theo van Gogh,The Hague,699,21.58823529411765,1882,1,0.20847307692307693,34,0.23529411764705882,0.5294117647058824,1,-1.9269693,-6.5642185
542,732_01,732,Theo van Gogh,Arles,1116,19.816666666666666,1889,1,0.3312585365853659,60,0.15,0.5333333333333333,1,-8.329668,-7.4325247
543,245_06,245,Theo van Gogh,The Hague,1958,25.987654320987655,1882,1,0.3304741379310344,81,0.13580246913580246,0.5802469135802469,1,5.9640584,-6.908889
